album_id,track_id,disc_number,track_number
al1,t1,1,6
al2,t2,1,1
al3,t3,1,13
al4,t4,1,5
al5,t5,1,3
al6,t6,1,1
al7,t7,1,5
al8,t8,1,4
al9,t9,1,7
al10,t10,1,7
al11,t11,1,7
al12,t12,1,1
al13,t13,1,6
al14,t14,1,1
al15,t15,1,1
al16,t16,1,1
al17,t17,1,7
al18,t18,1,4
al19,t19,1,1
al20,t20,1,1
al21,t21,1,5
al22,t22,1,1
al23,t23,1,2
al24,t24,1,32
al25,t25,1,1
al26,t26,1,10
al27,t27,1,3
al28,t28,1,9
al29,t29,1,4
al30,t30,1,11
al31,t31,1,1
al32,t32,2,6
al33,t33,1,1
al34,t34,1,2
al35,t35,1,3
al36,t36,1,16
al37,t37,1,1
al38,t38,1,1
al39,t39,1,7
al40,t40,1,7
al41,t41,1,1
al42,t42,1,1
al43,t43,1,7
al44,t44,1,12
al45,t45,1,3
al46,t46,1,1
al47,t47,1,2
al48,t48,1,1
al49,t49,1,1
al50,t50,1,5
al51,t51,1,7
al52,t52,1,4
al53,t53,1,1
al54,t54,1,1
al55,t55,1,6
al56,t56,1,7
al57,t57,1,5
al58,t58,1,15
al59,t59,1,2
al60,t60,1,4
al61,t61,1,1
al62,t62,1,1
al63,t63,1,7
al32,t64,2,2
al64,t65,1,2
al65,t66,1,13
al66,t67,1,1
al67,t68,1,4
al68,t69,1,2
al69,t70,1,14
al70,t71,1,2
al71,t72,1,20
al72,t73,1,4
al73,t74,1,1
al74,t75,1,3
al75,t76,1,1
al76,t77,1,16
al77,t78,1,6
al78,t79,1,13
al79,t80,1,6
al80,t81,1,3
al81,t82,1,1
al82,t83,1,1
al83,t84,1,5
al84,t85,1,9
al85,t86,1,18
al86,t87,1,1
al87,t88,1,6
al88,t89,1,1
al89,t90,1,1
al90,t91,1,12
al91,t92,1,4
al92,t93,1,5
al93,t94,1,11
al94,t95,1,13
al95,t96,1,1
al96,t97,1,3
al97,t98,1,10
al98,t99,1,1
al99,t100,1,1
al100,t101,1,12
al101,t102,1,8
al102,t103,1,2
al103,t104,1,15
al100,t105,1,5
al104,t106,1,4
al105,t107,1,11
al106,t108,1,2
al107,t109,1,1
al108,t110,1,3
al109,t111,1,5
al110,t112,1,3
al111,t113,1,12
al112,t114,1,10
al113,t115,1,7
al114,t116,1,3
al115,t117,1,3
al116,t118,1,1
al117,t119,1,1
al118,t120,1,1
al119,t121,1,1
al120,t122,1,8
al121,t123,1,1
al122,t124,1,1
al123,t125,1,1
al124,t126,1,2
al125,t127,3,8
al126,t128,1,1
al127,t129,1,1
al128,t130,1,1
al129,t131,1,17
al130,t132,3,9
al131,t133,1,2
al132,t134,1,2
al133,t135,1,4
al134,t136,1,1
al135,t137,1,1
al136,t138,1,15
al137,t139,1,1
al138,t140,1,4
al139,t141,1,3
al140,t142,1,3
al141,t143,1,5
al142,t144,1,6
al143,t145,1,6
al144,t146,1,1
al145,t147,1,10
al146,t148,1,11
al147,t149,1,4
al148,t150,1,5
al149,t151,1,6
al150,t152,1,1
al151,t153,1,4
al152,t154,1,93
al153,t155,1,5
al154,t156,1,1
al155,t157,1,3
al156,t158,1,1
al157,t159,1,2
al158,t160,1,1
al159,t161,1,7
al160,t162,2,10
al161,t163,1,3
al162,t164,1,2
al163,t165,1,1
al164,t166,1,15
al165,t167,1,1
al166,t168,1,2
al167,t169,1,1
al168,t170,1,1
al169,t171,1,1
al170,t172,1,7
al171,t173,1,3
al172,t174,1,1
al173,t175,1,1
al174,t176,1,2
al175,t177,1,1
al176,t178,1,7
al177,t179,1,1
al178,t180,1,2
al179,t181,1,1
al180,t182,1,26
al181,t183,1,6
al182,t184,1,2
al183,t185,1,1
al184,t186,1,1
al185,t187,1,1
al186,t188,1,3
al187,t189,1,7
al188,t190,1,14
al189,t191,1,3
al190,t192,1,1
al191,t193,1,1
al192,t194,1,2
al193,t195,1,4
al194,t196,2,1
al195,t197,1,8
al196,t198,1,7
al197,t199,1,1
al198,t200,1,1
al199,t201,1,4
al200,t202,15,5
al201,t203,1,1
al202,t204,1,12
al203,t205,1,1
al204,t206,1,4
al205,t207,1,2
al206,t208,1,3
al207,t209,1,1
al208,t210,1,8
al209,t211,1,9
al210,t212,1,3
al211,t213,2,2
al212,t214,1,7
al213,t215,1,3
al214,t216,1,6
al215,t217,1,4
al216,t218,1,2
al217,t219,1,6
al218,t220,1,1
al219,t221,1,2
al220,t222,1,1
al221,t223,1,6
al222,t224,1,6
al223,t225,1,1
al224,t226,1,1
al225,t227,1,1
al226,t228,1,2
al227,t229,1,6
al228,t230,1,11
al229,t231,1,4
al230,t232,1,53
al231,t233,1,7
al232,t234,1,6
al233,t235,1,1
al234,t236,1,1
al235,t237,1,4
al236,t238,1,3
al237,t239,1,6
al238,t240,1,4
al239,t241,1,11
al240,t242,1,11
al241,t243,1,8
al242,t244,1,3
al243,t245,1,3
al244,t246,1,1
al245,t247,1,8
al246,t248,1,1
al247,t249,1,10
al248,t250,1,15
al249,t251,1,3
al250,t252,1,9
al251,t253,1,1
al252,t254,1,1
al253,t255,1,3
al254,t256,1,3
al255,t257,1,1
al256,t258,1,2
al257,t259,1,11
al258,t260,1,8
al259,t261,1,1
al260,t262,1,9
al261,t263,1,1
al262,t264,1,1
al263,t265,1,2
al264,t266,1,3
al265,t267,1,1
al266,t268,1,1
al267,t269,1,7
al268,t270,1,2
al269,t271,1,2
al270,t272,1,3
al271,t273,1,1
al272,t274,1,1
al273,t275,1,9
al274,t276,1,4
al275,t277,1,5
al276,t278,1,6
al277,t279,1,1
al278,t280,1,3
al279,t281,1,6
al280,t282,1,4
al281,t283,1,2
al282,t284,1,1
al283,t285,1,5
al284,t286,1,1
al285,t287,1,6
al286,t288,1,2
al287,t289,1,19
al288,t290,1,3
al289,t291,1,1
al290,t292,1,4
al291,t293,1,9
al292,t294,1,1
al293,t295,1,9
al294,t296,1,1
al295,t297,1,13
al296,t298,1,13
al297,t299,1,1
al298,t300,1,10
al299,t301,1,7
al300,t302,1,9
al301,t303,1,6
al302,t304,1,1
al303,t305,1,1
al304,t306,1,6
al305,t307,1,2
al306,t308,1,1
al307,t309,1,1
al308,t310,1,4
al309,t311,2,12
al310,t312,1,5
al311,t313,1,2
al312,t314,1,1
al313,t315,1,2
al314,t316,1,1
al315,t317,1,1
al316,t318,1,3
al317,t319,1,1
al318,t320,1,3
al319,t321,1,3
al320,t322,1,4
al321,t323,1,10
al322,t324,1,8
al323,t325,1,3
al324,t326,1,11
al325,t327,1,2
al326,t328,1,5
al327,t329,1,6
al328,t330,1,5
al329,t331,1,1
al330,t332,1,9
al331,t333,1,1
al332,t334,1,12
al333,t335,1,1
al334,t336,1,7
al335,t337,1,3
al336,t338,1,14
al337,t339,1,2
al338,t340,1,47
al339,t341,1,1
al340,t342,1,7
al341,t343,1,11
al342,t344,1,5
al343,t345,1,1
al344,t346,1,2
al345,t347,1,11
al346,t348,1,10
al347,t349,1,2
al348,t350,1,1
al349,t351,1,13
al350,t352,1,9
al351,t353,1,6
al352,t354,1,1
al353,t355,1,4
al354,t356,1,1
al355,t357,1,1
al356,t358,1,1
al357,t359,1,2
al358,t360,1,33
al359,t361,1,2
al360,t362,1,3
al361,t363,1,1
al362,t364,1,4
al363,t365,1,2
al364,t366,1,5
al365,t367,1,2
al366,t368,1,5
al367,t369,1,21
al368,t370,1,2
al369,t371,1,7
al370,t372,1,6
al371,t373,1,2
al372,t374,1,1
al373,t375,1,8
al374,t376,1,5
al375,t377,1,4
al376,t378,1,5
al377,t379,1,1
al378,t380,1,2
al379,t381,1,1
al380,t382,2,9
al381,t383,1,1
al382,t384,1,1
al383,t385,1,3
al384,t386,1,7
al385,t387,1,4
al386,t388,2,3
al387,t389,1,1
al388,t390,1,11
al389,t391,1,2
al390,t392,2,1
al391,t393,1,1
al392,t394,1,3
al393,t395,1,1
al394,t396,1,3
al395,t397,1,1
al396,t398,2,15
al397,t399,1,5
al398,t400,1,2
al399,t401,1,9
al400,t402,1,1
al401,t403,1,7
al402,t404,1,12
al403,t405,1,2
al404,t406,1,1
al405,t407,1,7
al378,t408,1,11
al406,t409,1,2
al407,t410,1,2
al408,t411,1,1
al409,t412,1,9
al410,t413,1,5
al411,t414,1,3
al412,t415,1,3
al413,t416,1,1
al414,t417,1,4
al415,t418,1,1
al416,t419,1,9
al417,t420,1,6
al418,t421,1,10
al419,t422,1,12
al420,t423,1,2
al421,t424,1,4
al422,t425,1,1
al423,t426,1,2
al424,t427,1,1
al425,t428,1,5
al426,t429,1,1
al427,t430,1,1
al428,t431,1,1
al429,t432,1,7
al430,t433,1,4
al431,t434,1,3
al432,t435,1,2
al433,t436,1,2
al434,t437,1,8
al435,t438,1,6
al436,t439,1,8
al437,t440,1,1
al438,t441,1,1
al439,t442,1,7
al440,t443,1,10
al441,t444,1,1
al442,t445,1,1
al443,t446,1,1
al444,t447,1,4
al445,t448,1,1
al446,t449,1,11
al447,t450,1,19
al448,t451,1,1
al449,t452,1,1
al450,t453,1,1
al451,t454,1,1
al452,t455,1,4
al453,t456,1,16
al454,t457,1,6
al455,t458,1,4
al456,t459,1,1
al457,t460,1,1
al458,t461,1,11
al459,t462,1,1
al460,t463,1,1
al461,t464,1,1
al462,t465,1,6
al463,t466,1,6
al464,t467,1,5
al465,t468,1,6
al466,t469,1,1
al467,t470,1,4
al468,t471,1,1
al469,t472,1,9
al470,t473,1,38
al471,t474,1,7
al472,t475,1,6
