artist_id,genre
a1,indietronica
a1,modern rock
a1,shimmer pop
a2,adult standards
a2,bubblegum pop
a2,doo-wop
a2,lounge
a2,northern soul
a2,rock-and-roll
a2,rockabilly
a3,dance pop
a3,pop
a3,pop dance
a3,pop rap
a4,dance pop
a4,pop
a4,pop dance
a4,pop rap
a5,electropop
a5,metropopolis
a5,uk pop
a6,mellow gold
a6,soft rock
a6,yacht rock
a7,pop
a7,uk pop
a7,r&b
a7,rap
a7,urban contemporary
a8,pop
a8,uk pop
a8,r&b
a8,rap
a8,urban contemporary
a9,dance pop
a9,pop
a9,uk pop
a10,permanent wave
a10,pop
a11,contemporary country
a11,country
a11,country dawn
a11,country road
a12,album rock
a12,classic rock
a12,permanent wave
a12,rock
a13,album rock
a13,classic rock
a13,mellow gold
a13,rock
a13,soft rock
a13,yacht rock
a14,diva house
a14,eurodance
a14,hip house
a15,glam metal
a15,hard rock
a15,rock
a16,mellow gold
a16,soft rock
a17,bubblegum pop
a17,classic garage rock
a17,merseybeat
a18,electro
a18,filter house
a18,rock
a18,dance pop
a18,pop
a18,disco
a19,electro
a19,filter house
a19,rock
a19,dance pop
a19,pop
a19,disco
a20,electro
a20,filter house
a20,rock
a20,dance pop
a20,pop
a20,disco
a21,australian indigenous music
a21,australian pop
a21,australian rock
a22,folk-pop
a22,modern rock
a23,deep adult standards
a24,new romantic
a24,new wave
a24,new wave pop
a24,soft rock
a25,pop
a25,post-teen pop
a26,edm
a26,pop dance
a26,uk dance
a27,album rock
a27,beatlesque
a27,bubblegum pop
a27,classic rock
a27,folk rock
a27,mellow gold
a27,rock
a27,rock-and-roll
a27,singer-songwriter
a27,soft rock
a27,sunshine pop
a28,hammond organ
a29,hammond organ
a30,australian pop
a31,australian rock
a32,neo mellow
a32,pop rock
a32,post-grunge
a33,alternative rock
a33,dance rock
a33,electronic rock
a33,permanent wave
a35,art pop
a35,pop
a36,australian pop
a36,australian rock
a37,canadian contemporary r&b
a37,canadian pop
a37,pop
a37,electro
a37,filter house
a37,rock
a18,canadian contemporary r&b
a18,canadian pop
a38,alternative metal
a38,alternative rock
a38,australian alternative rock
a38,australian psych
a38,australian rock
a38,grunge
a38,nu metal
a38,post-grunge
a39,album rock
a39,classic rock
a39,glam metal
a39,hard rock
a39,mellow gold
a39,rock
a39,soft rock
a40,pop
a41,australian hip hop
a42,album rock
a42,classic rock
a42,rock
a42,soft rock
a42,yacht rock
a43,girl group
a43,golden age hip hop
a43,hip hop
a43,hip pop
a43,old school hip hop
a43,queens hip hop
a44,dance pop
a44,pop
a45,neo mellow
a45,pop rock
a47,beatlesque
a49,australian dance
a49,australian pop
a49,europop
a49,new wave pop
a50,australian rock
a51,boy band
a51,pop
a52,indie r&b
a53,dance pop
a53,pop
a53,talent show
a54,dance pop
a54,pop
a54,atl hip hop
a54,dirty south rap
a54,hip hop
a54,old school atlanta hip hop
a54,pop rap
a54,rap
a54,southern hip hop
