artist_id,artist_name,status,submitted_by,reviewed_by
a1,The Temper Trap,approved,2,1
a2,Frankie Valli & The Four Seasons,approved,2,1
a3,Mike Posner,approved,2,1
a4,Seeb,approved,2,1
a5,Foxes,approved,2,1
a6,Captain & Tennille,approved,2,1
a7,ZAYN,approved,2,1
a8,PARTYNEXTDOOR,approved,2,1
a9,Rita Ora,approved,2,1
a10,Coldplay,approved,2,1
a11,Faith Hill,approved,2,1
a12,The Police,approved,2,1
a13,Chicago,approved,2,1
a14,Urban Cookie Collective,approved,2,1
a15,Guns N' Roses,approved,2,1
a16,Rod Stewart,approved,2,1
a17,We Five,approved,2,1
a18,Daft Punk,approved,2,1
a19,Pharrell Williams,approved,2,1
a20,Nile Rodgers,approved,2,1
a21,Christine Anu,approved,2,1
a22,Vance Joy,approved,2,1
a23,Guy Mitchell,approved,2,1
a24,Wham!,approved,2,1
a25,Tori Kelly,approved,2,1
a26,Kungs,approved,2,1
a27,The Monkees,approved,2,1
a28,Jeff St John,approved,2,1
a29,The Copperwine,approved,2,1
a30,Delta Goodrem,approved,2,1
a31,The Angels,approved,2,1
a32,Sister Hazel,approved,2,1
a33,Garbage,approved,2,1
a34,Bobby Bloom,approved,2,1
a35,Billie Eilish,approved,2,1
a36,John Farnham,approved,2,1
a37,The Weeknd,approved,2,1
a38,Silverchair,approved,2,1
a39,Boston,approved,2,1
a40,Taylor Swift,approved,2,1
a41,Hilltop Hoods,approved,2,1
a42,Fleetwood Mac,approved,2,1
a43,Salt-N-Pepa,approved,2,1
a44,P!nk,approved,2,1
a45,Gavin DeGraw,approved,2,1
a46,The Look,approved,2,1
a47,Yellowstone And Voice,approved,2,1
a48,Jimmy Soul,approved,2,1
a49,Jason Donovan,approved,2,1
a50,Deborah Conway,approved,2,1
a51,Jonas Brothers,approved,2,1
a52,Paul Russell,approved,2,1
a53,Kelly Clarkson,approved,2,1
a54,Fergie,approved,2,1
a55,Ludacris,approved,2,1
a56,En Vogue,approved,2,1
a57,Musical Creations Karaoke,approved,2,1
a58,Eskimo Joe,approved,2,1
a59,Troye Sivan,approved,2,1
a60,Ariana Grande,approved,2,1
a61,Ben Lee,approved,2,1
a62,Young Divas,approved,2,1
a63,Conway Twitty,approved,2,1
a64,Groove Armada,approved,2,1
a65,Lifehouse,approved,2,1
a66,Marshmello,approved,2,1
a67,Imanbek,approved,2,1
a68,USHER,approved,2,1
a69,Keith Urban,approved,2,1
a70,Dr. Hook,approved,2,1
a71,Fifth Harmony,approved,2,1
a72,Ty Dolla $ign,approved,2,1
a73,Craig David,approved,2,1
a74,Katy Perry,approved,2,1
a75,Cyndi Lauper,approved,2,1
a76,Korn,approved,2,1
a77,Bill & Boyd,approved,2,1
a78,The Buggles,approved,2,1
a79,Melanie,approved,2,1
a80,The Edwin Hawkins Singers,approved,2,1
a81,Lady Gaga,approved,2,1
a82,Conor Maynard,approved,2,1
a83,Estelle,approved,2,1
a84,Kanye West,approved,2,1
a85,Maroon 5,approved,2,1
a86,T.I.,approved,2,1
a87,Justin Timberlake,approved,2,1
a88,Janet Jackson,approved,2,1
a89,Lizzo,approved,2,1
a90,Robyn,approved,2,1
a91,Amerie,approved,2,1
a92,The Darkness,approved,2,1
a93,Lou Christie,approved,2,1
a94,Boz Scaggs,approved,2,1
a95,Dave Dobbyn,approved,2,1
a96,Cyrus Villanueva,approved,2,1
a97,Barbra Streisand,approved,2,1
a98,Céline Dion,approved,2,1
a99,Mental As Anything,approved,2,1
a100,Dizzee Rascal,approved,2,1
a101,Calvin Harris,approved,2,1
a102,Chrom3,approved,2,1
a103,The B-52's,approved,2,1
a104,Nelly,approved,2,1
a105,Julian Casablancas,approved,2,1
a106,The Overlanders,approved,2,1
a107,C & C Music Factory,approved,2,1
a108,Freedom Williams,approved,2,1
a109,The Pussycat Dolls,approved,2,1
a110,The Living End,approved,2,1
a111,The Style Council,approved,2,1
a112,Quad City DJ's,approved,2,1
a113,Dami Im,approved,2,1
a114,John Paul Young,approved,2,1
a115,Youth Group,approved,2,1
a116,Liam Payne,approved,2,1
a117,Billy Field,approved,2,1
a118,P.J. Proby,approved,2,1
a119,Men At Work,approved,2,1
a120,E^ST,approved,2,1
a121,Fountains Of Wayne,approved,2,1
a122,Michael Bolton,approved,2,1
a123,Adrian Lux,approved,2,1
a124,Don Omar,approved,2,1
a125,Lucenzo,approved,2,1
a126,Spiderbait,approved,2,1
a127,Chocolate Starfish,approved,2,1
a128,Culture Beat,approved,2,1
a129,Miley Cyrus,approved,2,1
a130,Samantha Jade,approved,2,1
a131,The Marvelettes,approved,2,1
a132,Stevie Wonder,approved,2,1
a133,Damien Leith,approved,2,1
a134,Bonnie Tyler,approved,2,1
a135,Chris de Burgh,approved,2,1
a136,Marvin Gaye,approved,2,1
a137,Tammi Terrell,approved,2,1
a138,Evermore,approved,2,1
a139,Elvis Presley,approved,2,1
a140,Zedd,approved,2,1
a141,Griff,approved,2,1
a142,Itch,approved,2,1
a143,Megan Joy,approved,2,1
a144,Peter Allen,approved,2,1
a145,Bee Gees,approved,2,1
a146,Roddy Ricch,approved,2,1
a147,Shawn Mendes,approved,2,1
a148,Hootie & The Blowfish,approved,2,1
a149,Mariah Carey,approved,2,1
a150,Ne-Yo,approved,2,1
a151,The Exciters,approved,2,1
a152,Eminem,approved,2,1
a153,Rihanna,approved,2,1
a154,The La De Da's,approved,2,1
a155,Seether,approved,2,1
a156,Amy Lee,approved,2,1
a157,James Chatburn,approved,2,1
a158,Gotye,approved,2,1
a159,Kimbra,approved,2,1
a160,Bluejuice,approved,2,1
a161,Paramore,approved,2,1
a162,Ugly Kid Joe,approved,2,1
a163,Night Ranger,approved,2,1
a164,The Drifters,approved,2,1
a165,Selena Gomez,approved,2,1
a166,Far East Movement,approved,2,1
a167,Cover Drive,approved,2,1
a168,Johnny Diesel & The Injectors,approved,2,1
a169,Ed Sheeran,approved,2,1
a170,Steve Perry,approved,2,1
a171,Backstreet Boys,approved,2,1
a172,Gucci Mane,approved,2,1
a173,Scorpions,approved,2,1
a174,Jimmy Gilmer,approved,2,1
a175,The Fireballs,approved,2,1
a176,Green Day,approved,2,1
a177,Tom Petty and the Heartbreakers,approved,2,1
a178,Mike + The Mechanics,approved,2,1
a179,Billy Swan,approved,2,1
a180,The Dave Clark Five,approved,2,1
a181,Train,approved,2,1
a182,Vanessa Amorosi,approved,2,1
a183,The Beatles,approved,2,1
a184,Ella Henderson,approved,2,1
a185,Dragon,approved,2,1
a186,The KLF,approved,2,1
a187,Percy Sledge,approved,2,1
a188,Grandmaster Flash & The Furious Five,approved,2,1
a189,Elton John,approved,2,1
a190,Britney Spears,approved,2,1
a191,Sneaky Sound System,approved,2,1
a192,Shab,approved,2,1
a193,Martinez Twins,approved,2,1
a194,Morgan Wallen,approved,2,1
a195,Johnny Logan,approved,2,1
a196,Gene Vincent & His Blue Caps,approved,2,1
a197,Midnight Oil,approved,2,1
a198,Anne-Marie,approved,2,1
a199,Doja Cat,approved,2,1
a200,SZA,approved,2,1
a201,Camila Cabello,approved,2,1
a202,KC & The Sunshine Band,approved,2,1
a203,The Cure,approved,2,1
a204,Madonna,approved,2,1
a205,E.Y.C.,approved,2,1
a206,Franz Ferdinand,approved,2,1
