artist_id,artist_name,status,submitted_by,reviewed_by
4W48hZAnAHVOC2c8WH8pcq,The Temper Trap,approved,2,1
6mcrZQmgzFGRWf7C0SObou,Frankie Valli & The Four Seasons,approved,2,1
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,approved,2,1
5iNrZmtVMtYev5M9yoWpEq,Seeb,approved,2,1
7qRll6DYV06u2VuRPAVqug,Foxes,approved,2,1
7BEfMxbaqx6dOpbtlEqScm,Captain & Tennille,approved,2,1
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,approved,2,1
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,approved,2,1
5CCwRZC6euC8Odo6y9X8jr,Rita Ora,approved,2,1
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,approved,2,1
25NQNriVT2YbSW80ILRWJa,Faith Hill,approved,2,1
5NGO30tJxFlKixkPSgXcFE,The Police,approved,2,1
3iDD7bnsjL9J4fO298r0L0,Chicago,approved,2,1
1QYMj6ouUhi6yis1HE8M68,Urban Cookie Collective,approved,2,1
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,approved,2,1
2y8Jo9CKhJvtfeKOsYzRdT,Rod Stewart,approved,2,1
1XICntAIOLc3OPozkykv39,We Five,approved,2,1
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,approved,2,1
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,approved,2,1
3yDIp0kaq9EFKe07X1X2rz,Nile Rodgers,approved,2,1
0VyhYyWWF5yYomHQR4hCMl,Christine Anu,approved,2,1
10exVja0key0uqUkk6LJRT,Vance Joy,approved,2,1
1YAtBHWaWzZnkaoSFHGTBV,Guy Mitchell,approved,2,1
5lpH0xAS4fVfLkACg9DAuM,Wham!,approved,2,1
1vSN1fsvrzpbttOYGsliDr,Tori Kelly,approved,2,1
7keGfmQR4X5w0two1xKZ7d,Kungs,approved,2,1
320EPCSEezHt1rtbfwH6Ck,The Monkees,approved,2,1
5lcXivnykIkBmcmaD2Vi99,Jeff St John,approved,2,1
7BHRujdBRmwb704u4Iv4JC,The Copperwine,approved,2,1
0LyfQWJT6nXafLPZqxe9Of,Various Artists,approved,2,1
2g6fa86fL6oLcoDqanBbuR,Delta Goodrem,approved,2,1
2PeqTZKroEc2oDwTfmB2al,The Angels,approved,2,1
7m60UAnbgFFNuJbmS6OxTk,Sister Hazel,approved,2,1
6S0GHTqz5sxK5f9HtLXn9q,Garbage,approved,2,1
7iH90f18JHtgA6f4hjJpo2,Bobby Bloom,approved,2,1
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,approved,2,1
1QxaPWG1POM8Ul6WwsHq4y,John Farnham,approved,2,1
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,approved,2,1
4iudEcmuPlYNdbP3e1bdn1,Silverchair,approved,2,1
29kkCKKGXheHuoO829FxWK,Boston,approved,2,1
06HL4z0CvFAxyc27GXpf02,Taylor Swift,approved,2,1
7dlqUnjoF2U2DkNDMhcgG4,Hilltop Hoods,approved,2,1
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,approved,2,1
7wqtxqI3eo7Gn1P7SpP6cQ,Salt-N-Pepa,approved,2,1
1KCSPY1glIKqW2TotWuXOR,P!nk,approved,2,1
5DYAABs8rkY9VhwtENoQCz,Gavin DeGraw,approved,2,1
5eytiLIJP1kOyllcpWTxea,The Look,approved,2,1
0jwZXCdmqh8Ox5p2tOZF55,Yellowstone And Voice,approved,2,1
7k4MYPtpz3fAViMuuLi9ry,Jimmy Soul,approved,2,1
5bnNgwp3nooah9yHAHsnR4,Jason Donovan,approved,2,1
3l1Tuoqd0JXoaOrAiOyrB0,Deborah Conway,approved,2,1
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,approved,2,1
4zoRNhOhsGX3w8yBAnFSQ8,Paul Russell,approved,2,1
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,approved,2,1
