track_id,danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,tempo,key,mode,loudness,time_signature
0vNPJrUrBnMFdCs8b2MTNG,0.532,0.76,0.158,0.000101,0.69,0.0752,0.0353,134.974,11.0,0.0,-7.123,4.0
0NpvdCO506uO58D4AbKzki,0.703,0.478,0.734,0.626,0.0,0.113,0.0441,117.562,7.0,1.0,-8.062,4.0
1MtUq6Wp1eQ8PC6BbPCj8P,0.664,0.714,0.71,0.0353,8.42e-06,0.0843,0.111,101.969,7.0,0.0,-6.645,4.0
59lq75uFIqzUZcgZ4CbqFG,0.543,0.808,0.299,0.0429,1.64e-06,0.326,0.0632,140.064,9.0,0.0,-6.615,4.0
7KdcZQ3GJeGdserhK61kfv,0.664,0.585,0.597,0.624,0.000112,0.343,0.0248,111.29,0.0,0.0,-7.062,4.0
000xQL6tZNLJzIrtIgxqSl,0.748,0.627,0.524,0.131,0.0,0.0852,0.0639,120.963,7.0,1.0,-6.029,4.0
46xkXPGjR9Ig9BcaTUNus3,0.853,0.571,0.958,0.133,0.0,0.0564,0.0543,117.991,1.0,1.0,-5.845,4.0
7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,0.124,0.164,0.00196,0.113,0.0338,138.178,3.0,1.0,-8.74,4.0
1s2khOWzC99udpUaPICLJI,0.325,0.532,0.162,0.496,0.0,0.134,0.0308,129.021,8.0,1.0,-7.208,4.0
2sXp9Qmvc7mRaDBjBgcGGi,0.813,0.46,0.729,0.56,0.0105,0.0724,0.0346,117.387,1.0,1.0,-9.78,4.0
6d7PQZtTbHbcYqaygOW7vs,0.578,0.606,0.357,0.377,0.0,0.317,0.0282,73.912,11.0,1.0,-6.402,4.0
0Lg4ckCFjFUeyHOeSozcWS,0.702,0.796,0.607,0.0759,0.00253,0.109,0.0315,129.878,10.0,1.0,-6.99,4.0
5Q41NLTmGbVPozwHKK7bk2,0.274,0.949,0.497,0.0214,0.00778,0.218,0.0896,100.346,11.0,1.0,-8.642,4.0
5sgVguJJlA7thC8ybAFOo5,0.68,0.826,0.963,0.0683,0.444,0.0861,0.0671,158.314,9.0,1.0,-4.958,4.0
43wMcgNk8o3Qx7jxg3Lkfo,0.533,0.533,0.638,0.293,0.0,0.0996,0.064,140.494,1.0,0.0,-7.92,4.0
2Foc5Q5nqNiosCNqttzHof,0.794,0.811,0.862,0.0426,1.07e-06,0.101,0.038,116.047,6.0,0.0,-8.966,4.0
6LZOgBvntXL1egqIHHPnhn,0.734,0.923,0.847,0.0495,1.29e-05,0.0612,0.0561,109.661,11.0,1.0,-8.189,4.0
5ma71INSTL8sY1HzjVBj2g,0.502,0.719,0.438,0.46,0.0,0.114,0.0349,101.609,1.0,1.0,-6.649,4.0
2SBQBV1atDy4tbEfGicT7u,0.518,0.556,0.736,0.526,3e-06,0.0853,0.0479,171.496,5.0,1.0,-13.264,4.0
5AhRNIjYPBleR1lfHphcrE,0.493,0.665,0.877,0.117,0.0,0.159,0.0424,152.644,9.0,0.0,-13.817,4.0
2RiJYFyzmE4a5xYV7n7sgI,0.65,0.766,0.467,0.00408,6.69e-06,0.0759,0.119,89.974,6.0,0.0,-5.443,4.0
7g7OshelYRRnOSEMmisJVI,0.878,0.875,0.84,0.0507,3.42e-05,0.356,0.0658,124.006,1.0,1.0,-4.923,4.0
1t4I9xuq9Mgdq4SR5hV8p5,0.582,0.836,0.915,0.129,1.81e-06,0.248,0.0559,110.563,11.0,0.0,-9.3,4.0
6ER7Wg69KVV8Vrb1Bln3Cr,0.466,0.82,0.718,0.0503,0.0448,0.294,0.0689,139.581,2.0,1.0,-6.089,4.0
7zCaXeBaRwCSQ9JJvop7OL,0.455,0.621,0.16,0.0535,0.0,0.109,0.0294,134.015,9.0,1.0,-3.828,4.0
