track_id,artist_id
t1,a1
t2,a2
t3,a3
t3,a4
t4,a5
t5,a6
t6,a7
t6,a8
t7,a9
t8,a10
t9,a11
t10,a12
t11,a13
t12,a14
t13,a15
t14,a16
t15,a17
t16,a18
t16,a19
t16,a20
t17,a21
t18,a22
t19,a23
t20,a24
t21,a25
t22,a26
t23,a27
t24,a28
t24,a29
t25,a30
t26,a31
t27,a32
t28,a33
t29,a22
t30,a34
t31,a35
t32,a36
t33,a37
t33,a18
t34,a38
t35,a39
t36,a40
t37,a27
t38,a41
t39,a42
t40,a43
t41,a44
t42,a45
t43,a46
t44,a47
t45,a48
t46,a49
t47,a50
t48,a51
t49,a52
t50,a53
t51,a54
t51,a55
t52,a56
t53,a57
t54,a58
t55,a59
t55,a60
t56,a61
t57,a62
t58,a63
t59,a64
t60,a65
t61,a66
t61,a67
t61,a68
t62,a69
t63,a70
t64,a36
t65,a71
t65,a72
t66,a73
t67,a74
t68,a75
t69,a76
t70,a77
t71,a78
t72,a79
t72,a80
t73,a81
t74,a82
t75,a83
t75,a84
t76,a85
t77,a86
t77,a87
t78,a88
t79,a89
t80,a90
t81,a91
t82,a92
t83,a93
t84,a24
t85,a94
t86,a95
t87,a96
t88,a97
t88,a98
t89,a99
t90,a100
t90,a101
t90,a102
t91,a103
t92,a104
t93,a18
t93,a105
t94,a106
t95,a107
t95,a108
t96,a109
t97,a110
t98,a111
t99,a112
t100,a113
t101,a114
t102,a115
t103,a116
t103,a9
t104,a117
t105,a114
t106,a40
t107,a118
t108,a119
t109,a120
t110,a121
t111,a122
t112,a123
t113,a124
t113,a125
t114,a126
t115,a127
t116,a128
t117,a129
t118,a130
t119,a131
t120,a132
t121,a133
t122,a81
t123,a134
t124,a135
t125,a136
t125,a137
t126,a138
t127,a139
t128,a140
t128,a141
t129,a132
t130,a142
t130,a143
t131,a144
t132,a145
t133,a146
t134,a147
t135,a148
t136,a149
t136,a150
t137,a151
t138,a152
t138,a153
t139,a154
t140,a155
t140,a156
t141,a41
t141,a157
t142,a158
t142,a159
t143,a160
t144,a161
t145,a162
t146,a10
t147,a163
t148,a162
t149,a164
t150,a42
t151,a153
t152,a165
t152,a66
t153,a166
t153,a167
t154,a168
t155,a169
t156,a170
t157,a171
t158,a71
t158,a172
t159,a173
t160,a174
t160,a175
t161,a176
t162,a177
t163,a176
t164,a178
t165,a179
t166,a31
t167,a180
t168,a181
t169,a182
t170,a183
t171,a184
t172,a185
t173,a186
t174,a69
t175,a187
t176,a188
t177,a189
t177,a190
t178,a191
t179,a192
t179,a193
t180,a194
t181,a195
t182,a196
t183,a197
t184,a178
t185,a198
t186,a199
t186,a200
t187,a147
t187,a201
t188,a202
t189,a139
t190,a203
t191,a204
t192,a147
t192,a201
t193,a205
t194,a206
t195,a207
t196,a208
t196,a209
t197,a169
t197,a152
t197,a210
t198,a211
t199,a212
t200,a213
t200,a214
t201,a215
t202,a211
t203,a216
t204,a217
t205,a37
t206,a218
t207,a219
t208,a53
t209,a69
t209,a44
t210,a220
t211,a221
t211,a222
t212,a223
t213,a224
t214,a176
t215,a225
t216,a226
t217,a227
t218,a228
t219,a229
t220,a230
t221,a231
t222,a66
t222,a232
t223,a233
t224,a234
t225,a235
t226,a236
t226,a237
t227,a44
t228,a238
t229,a239
t230,a44
t231,a240
t232,a241
t233,a242
t233,a243
t234,a244
t235,a245
