track_id,track_name,popularity,duration_ms,explicit,preview_url,status,submitted_by,reviewed_by
0vNPJrUrBnMFdCs8b2MTNG,Fader,0,192373,0,https://p.scdn.co/mp3-preview/14264bd1501d27236aaa250633253911b2f3de50?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
0NpvdCO506uO58D4AbKzki,Sherry,54,152160,0,https://p.scdn.co/mp3-preview/e3f765262ebc349e663182d0e19bb24766314f39?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
1MtUq6Wp1eQ8PC6BbPCj8P,I Took A Pill In Ibiza - Seeb Remix,63,197933,1,https://p.scdn.co/mp3-preview/7bae6aac6d699135151854e9e3e5ae78f1a244f5?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
59lq75uFIqzUZcgZ4CbqFG,Let Go for Tonight,39,238413,0,https://p.scdn.co/mp3-preview/84a003d72f9f146831bbfa39587ebc50ee76e0f0?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
7KdcZQ3GJeGdserhK61kfv,The Way I Want To Touch You,35,163586,0,https://p.scdn.co/mp3-preview/9e7a4a7b7dc56dc3f08e1c9d84e78b52ddefb5cb?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
000xQL6tZNLJzIrtIgxqSl,Still Got Time (feat. PARTYNEXTDOOR),53,188490,0,https://p.scdn.co/mp3-preview/765e08c9b8930c6d0338c2d3d75c5b1c3efff338?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
46xkXPGjR9Ig9BcaTUNus3,Your Song,60,180160,0,https://p.scdn.co/mp3-preview/d57008f417a1466ac0ab02020560d4d61d904e80?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
7LVHVU3tWfcxj5aiPFEW4Q,Fix You,83,295533,0,https://p.scdn.co/mp3-preview/4ee64ea0fcfc1e6142d3b1e76464e95834fa87dd?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
1s2khOWzC99udpUaPICLJI,There You'll Be - 2007 Remaster,44,220840,0,https://p.scdn.co/mp3-preview/a3b43c90cfdf09ed61c5b1622f4a4e6a1f6a00a2?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2sXp9Qmvc7mRaDBjBgcGGi,Every Breath You Take - Remastered 2003,3,253886,0,https://p.scdn.co/mp3-preview/92d7997134bb18b99eb5fdc65926e4ef613f9781?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
6d7PQZtTbHbcYqaygOW7vs,You're the Inspiration - 2009 Remaster,39,229426,0,https://p.scdn.co/mp3-preview/da2133abe8aa91b9fdcb911bfb6a2bda3fe293b1?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
0Lg4ckCFjFUeyHOeSozcWS,"The Key, The Secret",53,222666,0,https://p.scdn.co/mp3-preview/3da82e509c756338a79089a61bcb8439718aff29?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
5Q41NLTmGbVPozwHKK7bk2,Paradise City,1,406306,0,https://p.scdn.co/mp3-preview/6c99e08ad1885d08023354ac96b546ffe3dee44b?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
5sgVguJJlA7thC8ybAFOo5,Tonight I'm Yours (Don't Hurt Me),42,251866,0,https://p.scdn.co/mp3-preview/162ced11bcc44aba0660912ece34e6abf716f304?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
43wMcgNk8o3Qx7jxg3Lkfo,You Were On My Mind,9,156640,0,https://p.scdn.co/mp3-preview/217b818c56d595818b5c4c0aa85bdd2127d1178f?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2Foc5Q5nqNiosCNqttzHof,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],78,248413,0,https://p.scdn.co/mp3-preview/9b7eaf7fb5cab29251df52e9a4f46fad14e29aa1?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
6LZOgBvntXL1egqIHHPnhn,Party,32,194533,0,https://p.scdn.co/mp3-preview/36827067c6d3fa27e82be16932e15c3439fc4fe6?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
